Type,Name,Floorplan,Breakable,Cookable,Dirtyable,Fillable,Moveable,Openable,Pickupable,Receptacle,Sliceable,Toggleable,CanUseUp,ChangeTempHot,ChangeTempCold,Mass,SalientMaterials,CompatibleReceptacles
SaltShaker,SaltShaker_7e800e97,2,False,False,False,False,False,False,True,False,False,False,False,False,False,0.4000000059604645,"Metal, Glass","DiningTable, TVStand, CoffeeTable, SideTable, CounterTop, Drawer, Cabinet, Shelf"
PepperShaker,PepperShaker_822ce267,2,False,False,False,False,False,False,True,False,False,False,False,False,False,0.14000000059604645,"Metal, Glass","DiningTable, TVStand, CoffeeTable, SideTable, CounterTop, Drawer, Cabinet, Shelf"
CellPhone,CellPhone_286b05dc,2,True,False,False,False,False,False,True,False,False,True,False,False,False,0.1599999964237213,"Metal, Glass","Sofa, ArmChair, Box, Ottoman, Dresser, Desk, Bed, DiningTable, TVStand, CoffeeTable, SideTable, CounterTop, Shelf, Drawer, Safe"
ButterKnife,ButterKnife_f67775a1,2,False,False,False,False,False,False,True,False,False,False,False,False,False,0.07999999821186066,Metal,"Pot, Pan, Bowl, Mug, Plate, Cup, Sink, SinkBasin, DiningTable, TVStand, CoffeeTable, SideTable, Desk, CounterTop, Drawer"
Bread,Bread_8485511e,2,False,False,False,False,False,False,True,False,True,False,False,False,False,0.699999988079071,Food,"Microwave, Fridge, DiningTable, TVStand, CoffeeTable, SideTable, Desk, CounterTop, GarbageCan, Plate"
Tomato,Tomato_bd76feba,2,False,False,False,False,False,False,True,False,True,False,False,False,False,0.11999998986721039,Food,"DiningTable, TVStand, CoffeeTable, SideTable, CounterTop, Sink, SinkBasin, Pot, Bowl, Fridge, GarbageCan, Plate"
Potato,Potato_bb7defe9,2,False,True,False,False,False,False,True,False,True,False,False,False,False,0.18000000715255737,Food,"Pot, Pan, Bowl, Microwave, Fridge, Plate, Sink, SinkBasin, DiningTable, TVStand, CoffeeTable, SideTable, CounterTop, GarbageCan"
DishSponge,DishSponge_c7859707,2,False,False,False,False,False,False,True,False,False,False,False,False,False,0.029999997466802597,Sponge,"Pot, Pan, Bowl, Plate, Box, Toilet, Cart, Cart, BathtubBasin, Bathtub, Sink, SinkBasin, Cabinet, DiningTable, TVStand, CoffeeTable, SideTable, CounterTop, Shelf, Drawer, GarbageCan"
Toaster,Toaster_6a591439,2,False,False,False,False,True,False,False,True,False,True,False,True,False,5.0,Metal,None
Spoon,Spoon_dfb446f0,2,False,False,False,False,False,False,True,False,False,False,False,False,False,0.03999999910593033,Metal,"Pot, Pan, Bowl, Mug, Plate, Cup, Sink, SinkBasin, DiningTable, TVStand, CoffeeTable, SideTable, CounterTop, Drawer"
Mug,Mug_a894633b,2,True,False,True,True,False,False,True,True,False,False,False,False,False,1.0,Ceramic,"SinkBasin, Cabinet, DiningTable, TVStand, CoffeeTable, SideTable, CounterTop, Shelf"
Bowl,Bowl_1e37cba3,2,True,False,True,True,False,False,True,True,False,False,False,False,False,0.4699999988079071,Glass,"Microwave, Fridge, Dresser, Desk, Sink, SinkBasin, Cabinet, DiningTable, TVStand, CoffeeTable, SideTable, CounterTop, Shelf"
Faucet,Faucet_0f2a3a65,2,False,False,False,False,False,False,False,False,False,True,False,False,False,0.0,None,None
Chair,Chair_08eed4ad,2,False,False,False,False,True,False,False,True,False,False,False,False,False,10.0,"Metal, Plastic",None
StoveBurner,StoveBurner_2f7beb55,3,False,False,False,False,False,False,False,True,False,False,False,True,False,0.0,None,None
Cabinet,Cabinet_7f259988,3,False,False,False,False,False,True,False,True,False,False,False,False,False,0.0,None,None
StoveBurner,StoveBurner_6113dcad,3,False,False,False,False,False,False,False,True,False,False,False,True,False,0.0,None,None
Floor,Floor_c0bfc425,3,False,False,False,False,False,False,False,True,False,False,False,False,False,1.0,Stone,None
Cabinet,Cabinet_10bbc178,3,False,False,False,False,False,True,False,True,False,False,False,False,False,0.0,None,None
Cabinet,Cabinet_a2108e9c,3,False,False,False,False,False,True,False,True,False,False,False,False,False,0.0,None,None
CounterTop,CounterTop_42ed4d15,3,False,False,False,False,False,False,False,True,False,False,False,False,False,0.0,None,None
Cabinet,Cabinet_79778930,3,False,False,False,False,False,True,False,True,False,False,False,False,False,0.0,None,None
Faucet,Faucet_46dfe3eb,3,False,False,False,False,False,False,False,False,False,True,False,False,False,0.0,None,None
StoveBurner,StoveBurner_9a0c24d9,3,False,False,False,False,False,False,False,True,False,False,False,True,False,0.0,None,None
Drawer,Drawer_979c82f4,3,False,False,False,False,False,True,False,True,False,False,False,False,False,0.0,None,None
Window,Window_ba8b885f,3,True,False,False,False,False,False,False,False,False,False,False,False,False,0.0,None,None
Drawer,Drawer_1b8ff2ad,3,False,False,False,False,False,True,False,True,False,False,False,False,False,0.0,None,None
Sink,Sink_3e5cb7ef,3,False,False,False,False,False,False,False,True,False,False,False,False,False,0.0,None,None
StoveBurner,StoveBurner_1f6c38b5,3,False,False,False,False,False,False,False,True,False,False,False,True,False,0.0,None,None
Bread,Bread_14bde010,3,False,False,False,False,False,False,True,False,True,False,False,False,False,0.699999988079071,Food,"Microwave, Fridge, DiningTable, TVStand, CoffeeTable, SideTable, Desk, CounterTop, GarbageCan, Plate"
Pot,Pot_2c9fb673,3,False,False,True,True,False,False,True,True,False,False,False,False,False,0.5699999928474426,Metal,"StoveBurner, Fridge, Sink, SinkBasin, Cabinet, DiningTable, TVStand, CoffeeTable, SideTable, CounterTop, Shelf"
Knife,Knife_6e934414,3,False,False,False,False,False,False,True,False,False,False,False,False,False,0.18000000715255737,"Metal, Plastic","Pot, Pan, Bowl, Mug, Plate, Sink, SinkBasin, DiningTable, TVStand, CoffeeTable, SideTable, CounterTop, Drawer"
Bowl,Bowl_b1a695b9,3,False,False,True,True,False,False,True,True,False,False,False,False,False,0.4699999988079071,Plastic,"Microwave, Fridge, Dresser, Desk, Sink, SinkBasin, Cabinet, DiningTable, TVStand, CoffeeTable, SideTable, CounterTop, Shelf"
Potato,Potato_35885ea7,3,False,True,False,False,False,False,True,False,True,False,False,False,False,0.18000000715255737,Food,"Pot, Pan, Bowl, Microwave, Fridge, Plate, Sink, SinkBasin, DiningTable, TVStand, CoffeeTable, SideTable, CounterTop, GarbageCan"
SoapBottle,SoapBottle_0ce08838,3,False,False,False,False,False,False,True,False,False,False,False,False,False,0.4000000059604645,"Metal, Glass","Dresser, Desk, Toilet, Cart, Bathtub, Sink, Cabinet, DiningTable, TVStand, CoffeeTable, SideTable, CounterTop, Shelf, Drawer, GarbageCan"
